preflabel,vicnames id
ICY CREEK,101520
ROKEWOOD,102644
SASSAFRAS,102699
LAKE BUNGA,101754
BELGRAVE,100327
GLENALADALE,101274
CUNDARE,100903
PARADISE BEACH,102451
WAYGARA,103275
YALLAMBIE,103453
MARLO,101963
KEILOR EAST,101628
GRENVILLE,101385
LOWER PLENTY,101894
CALULU,100630
ABBOTSFORD,100118
NAPOLEONS,102275
CLIFTON CREEK,100766
MANORINA,101953
JACANA,101550
GROVEDALE,101393
NOORAT EAST,102365
BARWON HEADS,100296
GLEN PARK,101268
DEPTFORD,100957
ARAWATA,100177
BERRYS CREEK,100364
WOODS POINT,103394
CLARETOWN,100756
LEONGATHA NORTH,101828
MACARTHUR,101910
UPTON HILL,103148
WOODFIELD,103388
SAWMILL SETTLEMENT,102700
TARADALE,102939
WERONA,103294
TYAAK,103116
CRESWICK,100879
MURRINDAL,102241
RIPPLEBROOK,102626
CLIFTON SPRINGS,100768
CAPE SCHANCK,100655
BASS,100298
MOGGS CREEK,102094
BIG HILL,100381
BARRAMUNGA,100287
HEYTESBURY LOWER,101468
BOOLARONG,100439
ROSS CREEK,102657
MOUTAJUP,102209
HURSTBRIDGE,101519
LAL LAL,101778
ST ALBANS PARK,102805
BAXTER,100304
DROUIN,101014
CATANI,100704
PEARCEDALE,102471
POMBORNEIT NORTH,102523
GIPSY POINT,101253
SAILORS FALLS,102679
NURRAN,102401
ENOCHS POINT,103723
LEARMONTH,101817
STIRLING,102834
BUCHAN SOUTH,100533
BURRUMBEET,100598
ARCHDALE JUNCTION,100183
NATTE YALLOCK,102304
MOUNT ECCLES SOUTH,102180
DUMBALK,101031
BULLENGAROOK,100556
RHYMNEY,102611
BURNBANK,100589
REEDY CREEK,102600
MOUNT GLASGOW,102186
SUGGAN BUGGAN,102873
STRATHBOGIE,102855
REDBANK,102595
MANDURANG SOUTH,101946
WONWONDAH,103382
STRATHEWEN,102858
WAANYARRA,103171
HOWQUA INLET,101508
TANTARABOO,102934
MOUNT PROSPECT,102197
MARTHAVALE,101972
TAMBO CROSSING,102920
CAPE WOOLAMAI,100656
YANGOURA,103469
VALENCIA CREEK,103150
WANDIN NORTH,103206
BRADVALE,100474
NORTH MELBOURNE,102375
TANJIL BREN,102931
QUANDONG,102569
WARBURTON,103224
CALDER PARK,100621
EXFORD,101141
BUNINYONG,100581
LALOR,101780
BRUTHEN,100529
GLADSTONE PARK,101259
NIDDRIE,102348
VITE VITE NORTH,103168
ESSENDON NORTH,101128
BROADWATER,100509
THE HEART,103000
WANDANA HEIGHTS,103202
HEATH HILL,101445
CALDERMEADE,100622
NAR NAR GOON NORTH,102277
BOOLA,100437
BEACONSFIELD,100311
ROXBURGH PARK,102662
STOCKYARD HILL,102836
BULLAROOK,100551
NERRING,102324
KARABEAL,101609
DUNNSTOWN,101042
SNAKE VALLEY,102772
KOONWARRA,101705
WAUBRA,103273
MEENIYAN,101996
TANYBRYN,102936
WONGARRA,103377
CLYDESDALE,100778
MARAMINGO CREEK,101955
ALLENDALE,100147
TYLDEN SOUTH,103122
SAILORS HILL,102681
OAKLEIGH EAST,102414
NORVAL,102383
SUNDAY CREEK,102878
ANCONA,100164
TULKARA,103106
SHANNONVALE,102729
MIA MIA,102039
BARINGHUP,100270
BARINGHUP WEST,100271
CHEPSTOWE,100729
GARIBALDI,101220
NERRIN NERRIN,102321
NORTH WARRANDYTE,102379
GORMANDALE,101343
MOUNT MARTHA,102192
CHELSEA,100725
THE PATCH,103002
CARNEGIE,100683
TARILTA,102943
DUNOLLY,101043
MANDURANG,101945
GLEN WILLS,101272
AXE CREEK,100218
MALDON,101936
MOONAMBEL,102120
FRENCHMANS,101206
OMEO,102427
WULGULMERANG,103430
LANDSBOROUGH WEST,101787
KERNOT,101645
KROWERA,101725
THORNBURY,103009
BRUNSWICK EAST,100527
RUSHWORTH,102671
MOORA,102126
PIRIES,102506
MACS COVE,101919
HOWQUA,101506
PORCUPINE RIDGE,102534
COOMOORA,100825
DERGHOLM,100961
WARROCK,103249
SPRINGBANK,102796
GORDON,101342
ARTHURS CREEK,100196
RYANS,102674
MERRIJIG,102030
IGUANA CREEK,101521
WUK WUK,103429
WOODGLEN,103391
BIG HILL,100380
GLEN VALLEY,101270
FALLS CREEK,101151
BRIMPAEN,100502
HINNOMUNJIE,101486
TERIP TERIP,102988
DOUGLAS,101004
TOOLONDO,103050
LANDSBOROUGH,101786
MOOLORT,102118
NEERIM JUNCTION,102314
CRESSY,100875
JACOB CREEK,101553
WARRENHEIP,103243
MININERA,102063
GRAMPIANS,101356
ELLASWOOD,101093
SKIPTON,102757
PATTERSON LAKES,102468
SHADY CREEK,102728
DRUMCONDRA,101020
MANIFOLD HEIGHTS,101949
JOEL JOEL,101574
CHANDLERS CREEK,100716
ARARAT,100176
MOUNT HOOGHLY,102188
APSLEY,100174
AVENEL,100212
LOCKWOOD SOUTH,101872
BARWITE,100294
TOOBORAC,103040
CHERRYPOOL,100731
MOUNT CAMERON,102167
DRYSDALE,101029
FLAGGY CREEK,101175
INVERGORDON,101532
MARUNGI,101974
ESSENDON,101127
MELBOURNE,102000
CREMORNE,100874
SOUTH YARRA,102785
SPRINGVALE,102802
NOBLE PARK,102360
COLAC WEST,100806
WILLOWMAVIN,103342
COBBANNAH,100782
BARKLY,100276
CHESHUNT SOUTH,100734
ZUMSTEINS,103509
CASTLEMAINE,100703
JOYCES CREEK,101579
GLENHOPE,101289
SHAYS FLAT,102731
HARROW,101427
JOEL SOUTH,101575
TRAFALGAR,103081
MOORNAPA,102134
CALLIGNEE,100626
CALLIGNEE NORTH,100627
DRUMMOND,101022
GEELONG WEST,101228
BARRABOOL,100285
LONGFORD,101882
ST LEONARDS,102819
MOE,102091
KOO WEE RUP,101699
MONOMEITH,102109
LAKE WENDOUREE,101775
ORBOST,102430
STAVELY,102828
LEIGH CREEK,101821
TOOLOME,103049
NEWINGTON,102335
TAGGERTY,102906
CONDAH SWAMP,100816
MAGPIE,101925
MOUNT BUTE,102164
BUSHY PARK,100605
ULLINA,103133
GRINGEGALGONA,101391
KERRIE,101646
BURAGWONDUC,100586
NEW GISBORNE,102327
BALD HILLS,100234
SULKY,102874
CARNGHAM,100684
DOUBLE BRIDGES,101002
DIXONS CREEK,100982
GLENLEE,101293
JOHNSONVILLE,101577
FLYNN,101184
DEWHURST,100969
OFFICER SOUTH,102422
WINCHELSEA,103350
BIRREGURRA,100393
ATTWOOD,100207
WOOLENOOK,103407
WESBURN,103298
KINGSBURY,101681
WORROWING,103425
SOMERVILLE,102776
POOWONG NORTH,102533
BONBEACH,100429
KOLORA,101694
BAYLES,100306
GEELONG,101227
TRAFALGAR EAST,103082
KOO WEE RUP NORTH,101700
NILMA,102349
BLIND BIGHT,100409
MANNERIM,101950
LAKE CONDAH,101756
MURGHEBOLUC,102229
BALLANGEICH,100238
ORFORD,102431
NEWTOWN,102344
MODELLA,102088
MOE SOUTH,102093
WOODSIDE BEACH,103398
KILCUNDA,101659
WEST CREEK,103300
PAARATTE,102442
DALYSTON,100919
