preflabel,definition,notation,altlabel,related
Apollo Bay TP,,5014,,
"Alberton, at (Alberton East)",,2007A,,
Woodside North TP,,5877,,
Forrest TP,,5295,,
Nirranda TP,,5599,,
Dollar TP,,5246,,
Stony Creek TP,,5734,,
Peterborough TP,,5631,,
Inverloch TP,,5393,,
Tarraville TP,,5767,,
Hedley TP,,5375,,
Steiglitz TP,,5731,,
Gerangamete TP,,5314,,
Kewell TP,,5414,,
Mackinnons Bridge TP,,5488,,
Wonthaggi TP,,5871,,
Port Campbell TP,,5648,,
Alberton TP,,5005,,
Buffalo TP,,5124,,
Port Albert TP,,5646,,
Wyelangta TP,,5890,,
Princetown TP,,5654,,
Port Welshpool TP,,5652,,
Tarwin Lower TP,,5770,,
Scotts Creek TP,,5701,,
Koorooman TP,,5430,,
Timboon TP,,5783,,
Marengo TP,,5501,,
Walkerville TP,,5820,,
Sandy Point TP,,5698,,
Gunyah Gunyah TP,,5361,,
Devon TP,,5241,,
Crib Point TP,,5212,,
Laang TP,,5441,,
Yambuk TP,,5894,,
Cobden TP,,5180,,
Red Hill South TP,,5671,,
Winslow TP,,5866,,
Willung TP,,5863,,
Osborne TP,,5620,,
Flynn TP,,5293,,
Nilma TP,,5596,,
Mortlake TP,,5553,,
Whiskey Creek TP,,5853,,
Bunyip TP,,5135,,
Hawkesdale TP,,5371,,
Wurruk TP,,5888,,
Longwarry TP,,5476,,
Seacombe TP,,5702,,
Drouin TP,,5252,,
Dergholm TP,,5238,,
Karawinna TP,,5406,,
Ballarat East TP,,5031,,
Nerrina TP,,5585,,
Skenes Creek TP,,5716,,
Campbelltown TP,,5146,,
Chetwynd TP,,5171,,
Gre Gre TP,,5355,,
Daylesford West TP,,5232,,
Daylesford TP,,5231,,
Coonooer TP,,5192,,
Gowar East TP,,5343,,
"Port Melb, City (Melb South)",,3084B,,
Durham Lead TP,,5259,,
Garibaldi TP,,5308,,
Durham Ox TP,,5260,,
Rossbridge TP,,5684,,
Yarck TP,,5897,,
Molesworth TP,,5543,,
Mirboo TP,,5536,,
Bass TP,,5053,,
Glenorchy TP,,5326,,
Mandurang TP,,5497,,
Healesville TP,,5372,,
Woods Point TP,,5878,,
Macarthur TP,,5486,,
Archdale TP,,5018,,
Macedon TP,,5487,,
Toolangi TP,,5790,,
Stradbroke TP,,5735,,
Leongatha TP,,5460,,
Ventnor TP,,5814,,
Rhyll TP,,5674,,
Barwon Downs TP,,5051,,
Woolamai TP,,5880,,
Lorne TP,,5478,,
Cape Clear TP,,5149,,
Torquay TP,,5796,,
Chepstowe TP,,5168,,
"Scotchmans, at (Buninyong)",,2287A,,
Napoleons TP,,5573,,
Foster TP,,5296,,
Port Franklin TP,,5650,,
Hoddle TP,,5382,,
Pirron Yallock TP,,5640,,
Elingamite North TP,,5273,,
"Rosebud, at (Wannaeue)",,3730A,,
Rosebud TP,,5682,,
Hastings TP,,5369,,
Hepburn TP,,5377,,
Carrajung TP,,5158,,
Newhaven TP,,5590,,
Bulla TP,,5125,,
Nathalia TP,,5577,,
Taradale TP,,5762,,
Poowong TP,,5644,,
Elmhurst TP,,5276,,
Carapook TP,,5152,,
Kilcunda TP,,5418,,
Cann River TP,,5148,,
Portarlington TP,,5647,,
Banyena TP,,5041,,
Gipsy Point TP,,5318,,
Coopers Creek TP,,5193,,
Mudgeegonga TP,,5558,,
Suggan Buggan TP,,5743,,
Cambrian Hill TP,,5144,,
Giffard TP,,5317,,
Donald TP,,5247,,
Trentham TP,,5802,,
Toolern Vale TP,,5791,,
Marysville TP,,5509,,
Myrniong TP,,5567,,
Merrijig TP,,5522,,
Toongabbie TP,,5795,,
Melton TP,,5515,,
Britannia Creek TP,,5112,,
Powelltown TP,,5653,,
Heyfield TP,,5379,,
Rokeby TP,,5679,,
Warrnambool TP,,5841,,
Quambatook TP,,5660,,
Coalville TP,,5179,,
Darnum TP,,5227,,
Deddick TP,,5233,,
Yea TP,,5904,,
Blackwood TP,,5087,,
Porepunkah TP,,5645,,
Granton TP,,5347,,
Greendale TP,,5352,,
Lockwood TP,,5473,,
Lucknow TP,,5483,,
Bairnsdale TP,,5027,,
Dennington TP,,5235,,
Myrtleford TP,,5568,,
Dromana TP,,5251,,
Sebastopol TP,,5707,,
Carapooee TP,,5151,,
Winyar TP,,5868,,
Tyaak TP,,5807,,
Kyneton TP,,5439,,
Ensay TP,,5282,,
Pakenham TP,,5623,,
Learmonth TP,,5457,,
Anglesea TP,,5011,,
Williamstown TP,,5861,,
Mansfield TP,,5500,,
Nalinga TP,,5571,,
Werribee TP,,5847,,
Coburg TP,,5182,,
Bruthen TP,,5120,,
Skipton TP,,5717,,
Shoreham TP,,5715,,
Tongio West TP,,5788,,
Harrietville TP,,5367,,
Balmoral TP,,5035,,
Keilor TP,,5412,,
Timor TP,,5784,,
Flinders TP,,5292,,
Beazleys Bridge TP,,5059,,
Oxley TP,,5622,,
Shepparton TP,,5713,,
Rokewood TP,,5680,,
Blakeville TP,,5088,,
Sunbury TP,,5744,,
Yackandandah TP,,5893,,
Yellingbo TP,,5905,,
Chatsworth TP,,5167,,
Warrandyte North TP,,5838,,
Warrandyte TP,,5837,,
Omeo TP,,5617,,
Cudgee TP,,5215,,
Maindample TP,,5491,,
Morrisons TP,,5552,,
Broadmeadows TP,,5114,,
Fernihurst TP,,5291,,
Cope Cope TP,,5194,,
Greta West TP,,5358,,
Wangaratta TP,,5829,,
Rye TP,,5691,,
Templestowe TP,,5776,,
Terrick Terrick South TP,,5780,,
Laanecoorie TP,,5440,,
Streatham TP,,5741,,
SEASPRAY TP,,5704,,
