preflabel,definition,notation,altlabel,related
Bradford,,2216,,
Kaneira,,2829,,
Toort,,3635,,
Murchison North,,3223,,
Moora,,3162,,
Knaawing,,2890,,
Runnymede,,3461,,
Branjee,,2220,,
Arapiles,,2019,,
Wing Wing,,3837,,
Daahl,,2479,,
Bepcha,,2122,,
Molka,,3144,,
Whroo,,3811,,
Bogong North,,2164,,
Wannaeue,,3730,,
Muskerry,,3243,,
Flinders,,2613,,
Undowah,,3683,,
Mowamba,,3203,,
Moglonemby,,3136,,
Derby,,2510,,
Garratanbunell,,2635,,
Lowry,,3018,,
Traawool,,3645,,
Everton,,2610,,
Durdidwarrah,,2568,,
Coolebarghurk,,2429,,
Mologa,,3145,,
Darkbonee,,2490,,
Bungywarr,,2286,,
Combienbar,,2416,,
Carapook,,2340,,
Muntham,,3221,,
Shepparton,,3486,,
Yat Nat,,3976,,
Yarramyljup,,3964,,
Bessiebelle,,2132,,
Dandongadale,,2484,,
Langwornor,,2973,,
Heathcote,,2750,,
Tarkeeth,,3549,,
Birregun,,2155,,
Bairnsdale,,2042,,
Boole Poole,,2184,,
Sale,,3468,,
Wurruk Wurruk,,3913,,
Wuk Wuk,,3908,,
Tallangatta,,3530,,
Mepunga,,3087,,
Derrimut,,2516,,
Binginwarri,,2149,,
Devon,,2520,,
Booroopki,,2197,,
Redcastle,,3445,,
Cherrington,,2377,,
Painswick,,3362,,
Strathfieldsaye,,3506,,
Kalingur,,2818,,
Knowsley,,2892,,
Nowyeo,,3329,,
Dargile,,2488,,
Bolangum,,2171,,
Burrong North,,2301,,
Durong,,2570,,
Chewton,,2378,,
Turandurey,,3659,,
Neereman,,3291,,
Tarcombe,,3547,,
Morockdong,,3191,,
Bringalbart,,2233,,
Awonga,,2033,,
Lah-Arum,,2955,,
Sedgwick,,3480,,
Charam,,2371,,
Youpella,,3999,,
Tchirree,,3569,,
Glenaroua,,2665,,
Woongulmerang West,,3883,,
Glendhu,,2672,,
Bolaira,,2170,,
Wappan,,3734,,
Coolumbooka,,2430,,
Northwood,,3324,,
